CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1712301,7123,19647336016810,Bradley Glbl Awr Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1713701,7137,19647336019475,32nd St USC PA Mag,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1715101,7151,19647336019483,Weemes El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1716401,7164,19647336019491,Bright El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1717801,7178,19647336019509,Toland Way El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1719201,7192,19647336019517,Toluca Lake El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1719801,7198,19647336019525,Topanga El CS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1720101,7201,19647336019533,Topeka Dr CAS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1720501,7205,19647336019541,Towne Ave El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1721901,7219,19647336019558,Trinity St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1722001,7220,19647330106922,Maple PC,Traditional Schools,2021-2022,NA,NA,Youth Development Program
1724701,7247,19647336019566,Tulsa St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1726001,7260,19647336019574,Tweedy El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1727401,7274,19647336019582,20th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1728801,7288,19647336019590,28th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1730101,7301,19647336019608,24th St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1732901,7329,19647336019616,232nd Pl El,Traditional Schools,2021-2022,NA,Youth Services,Gang Alternatives Program
1734201,7342,19647336018147,Meyler St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1735601,7356,19647336019624,Union Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1737001,7370,19647336019632,Utah St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1738401,7384,19647336019640,Valerio St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1739001,7390,19647331931716,Lake Balboa CP K-12,Traditional Schools,2021-2022,NA,Youth Services,NA
1739701,7397,19647336019657,Valley View El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1739801,7398,19647330122184,Alta California El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1739901,7399,19647330122192,Korenstein El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1740001,7400,19647330122200,Vista del Valle Acad,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1740101,7401,19647330122218,Cardenas El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1740201,7402,19647330122226,Mosk El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1740401,7404,19647330122234,Santana Art Ac,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1740801,7408,19647330126599,Sylmar Ldshp Acad,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1741101,7411,19647336019707,Vanalden Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1741901,7419,19647336019665,Van Deene Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1742201,7422,19647336019673,Van Gogh Chtr,Affiliated Charters,2021-2022,NA,Youth Services,NA
1742501,7425,19647336019681,Van Ness Ave El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1743201,7432,19647336120679,Columbus Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1743801,7438,19647336019699,Van Nuys El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1746601,7466,19647336019723,Vena Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1747901,7479,19647336019731,Vermont Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1749301,7493,19647336019749,Vernon City El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Woodcraft Rangers
1750701,7507,19647336019756,Victoria Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1752101,7521,19647336019764,Victory Blvd El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1753401,7534,19647336019772,Vine St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1754801,7548,19647336019780,Vinedale College Prp,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1756201,7562,19647336019798,Vintage El M/S/T Mag,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1756901,7569,19647330135996,BALA,Traditional Schools,2021-2022,NA,Youth Services,NA
1757401,7574,19647330135681,Mann UCLA Comm Sch,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1757501,7575,19647336019806,Virginia Rd El,Traditional Schools,2021-2022,NA,Youth Services,Kids 4 College
1758901,7589,19647336019814,Wadsworth Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1760301,7603,19647336019822,Walgrove Ave El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1760401,7604,19647330133736,Science Ac STEM Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1761401,7614,19647330129585,Nava College Prep,Traditional Schools,2021-2022,NA,NA,UCLA
1761601,7616,19647336019830,Warner Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1763001,7630,19647330109306,Washington PC,Traditional Schools,2021-2022,NA,NA,LA's BEST
1763401,7634,19647336019848,Weigand Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1763701,7637,19647336019855,Welby Way CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1764001,7640,19647330109439,Chavez El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1764401,7644,19647336019863,West Athens El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1764901,7649,19647336019871,West Hollywood El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1765401,7654,19647336019889,West Vernon Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1765801,7658,19647330130997,Sylmar Acad BH/E Mag,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1766701,7667,19647330126573,Dymally SH,Traditional Schools,2021-2022,NA,NA,UCLA
1767101,7671,19647336019905,Western Av TECH Mag,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1769901,7699,19647336019913,Westminster MTES Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1771201,7712,19647336019921,Westport Hts El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1771601,7716,19647330124388,Chavez LA SJ Hum Ac,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1771801,7718,19647330124495,Rivera LC Com & Tech,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1771901,7719,19647330124503,Rivera LC GD STEAM Ac,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1772201,7722,19647330124479,Angelou Community SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1773401,7734,19647330125989,Bernstein SH STEM,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1774001,7740,19647336019939,Westwood CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1774901,7749,19647331937424,Roosevelt SH,Traditional Schools,2021-2022,NA,NA,Salesian Family Youth Center
1776701,7767,19647336019947,White Point El,Traditional Schools,2021-2022,NA,Youth Services,NA
1777101,7771,19647330121095,RFK Ambsdr Glbl Ldsh,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1777101,7771,19647330121095,RFK Ambsdr Glbl Ldsh,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777201,7772,19647330122374,Torres Renaissance,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777301,7773,19647330122382,Torres Eng & Tech,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777401,7774,19647336019954,Wilbur CEA,Affiliated Charters,2021-2022,NA,Youth Services,NA
1777501,7775,19647330122358,Torres Hum/Art/Tech,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777701,7777,19647330122366,Torres HS SJLA Mag,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1778001,7780,19647330119693,RFK UCLA Comm Sch,Traditional Schools,2021-2022,NA,Youth Services,UCLA
1778101,7781,19647336019962,Wilmington Park El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1778301,7783,19647330119685,RFK New Open Wld,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1778301,7783,19647330119685,RFK New Open Wld,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1779501,7795,19647336019970,Wilshire Crest El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1780801,7808,19647336019988,Wilton Pl El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1782201,7822,19647336019996,Windsor Hills El Mag,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1783601,7836,19647336020002,Winnetka Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1784901,7849,19647336020010,Wonderland Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1786301,7863,19647336020028,Woodcrest El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1787701,7877,19647336020036,Woodlake ECC,Affiliated Charters,2021-2022,NA,Youth Services,NA
1789001,7890,19647336020044,Woodland Hills CES,Affiliated Charters,2021-2022,NA,Youth Services,NA
1789501,7895,19647330140046,VOCES Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1789501,7895,19647330140046,VOCES Mag,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1790401,7904,19647336020051,Woodlawn Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1795901,7959,19647336020069,Yorkdale El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1800901,8009,19647336057855,Adams MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1802801,8028,19647336061394,Audubon MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1803801,8038,19647336057871,Bancroft MS,Traditional Schools,2021-2022,NA,Youth Services,LACER
1804501,8045,19647330119701,Castro MS,Traditional Schools,2021-2022,NA,Youth Services,A World Fit For Kids!
1804701,8047,19647336057889,Belvedere MS,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1805701,8057,19647336061402,Berendo MS,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,YS Plus
1805801,8058,19647330114199,Liechty MS,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1806001,8060,19647336058143,Bethune MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1806201,8062,19647330112011,Clinton MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1806401,8064,19647330119735,Kim Academy,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1806601,8066,19647336057897,Burbank MS A/T/C Mag,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1807501,8075,19647336061410,Burroughs MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1808001,8080,19647336057905,Byrd MS,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1809001,8090,19647336057913,Carnegie MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus / L.A. Conservation Corps
1809401,8094,19647336057921,Carver MS,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1810201,8102,19647336057947,Columbus MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1810301,8103,19647336066294,Curtiss MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1810401,8104,19647336057954,Dana MS,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1810701,8107,19647336061584,Portola CM,Affiliated Charters,2021-2022,NA,Youth Services,YS Plus
1811001,8110,19647336061436,Dodson MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1811201,8112,19647336057962,Drew MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1811301,8113,19647336061444,Edison MS,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1811601,8116,19647330117044,Romer MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1811701,8117,19647330106971,Vista MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1811801,8118,19647336068431,El Sereno MS,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Keep Youth Doing Something
1812301,8123,19647336057988,Emerson CC,Affiliated Charters,2021-2022,NA,Youth Services,Team Prime Time
1812701,8127,19647336057996,Fleming MS,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1813201,8132,19647336061451,Foshay LC,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1813701,8137,19647336058275,Frost MS,Traditional Schools,2021-2022,NA,Youth Services,NA
1814201,8142,19647336058002,Fulton College Prep,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1814201,8142,19647336058002,Fulton College Prep,Traditional Schools,2021-2022,NA,NA,arc
1815101,8151,19647336061469,Gage MS,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1815301,8153,19647330106989,Southeast MS,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1816001,8160,19647336058028,Gompers MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1816801,8168,19647336058036,Griffith MS STEAM Mg,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1816901,8169,19647336061477,Hale CA,Affiliated Charters,2021-2022,NA,Youth Services,NA
1817001,8170,19647336058044,Harte Prep MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1817401,8174,19647336061485,Henry MS,Traditional Schools,2021-2022,NA,Youth Services,A World Fit For Kids!
1817901,8179,19647336058051,Hollenbeck MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus / L.A. Conservation Corps
1818201,8182,19647336058069,Holmes MS,Traditional Schools,2021-2022,NA,Youth Services,arc
1818901,8189,19647336058077,Irving MS MME Mag,Traditional Schools,2021-2022,NA,Youth Services,LACER
1820001,8200,19647336115794,Los Angeles Acad MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1820601,8206,19647330117762,RFK Sch Vis Arts/Hum,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1820701,8207,19647330117721,Contreras LC ALC,Traditional Schools,2021-2022,NA,NA,A World Fit For Kids!
1820801,8208,19647336058085,King MS Mag Flm/Mdia,Traditional Schools,2021-2022,NA,Youth Services,LACER
1821701,8217,19647336058093,Lawrence MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1822601,8226,19647336061501,Le Conte MS,Traditional Schools,2021-2022,NA,Youth Services,LACER
1822801,8228,19647336058101,Maclay MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1823001,8230,19647336061519,Madison MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1823501,8235,19647336058127,Marina Del Rey MS,Traditional Schools,2021-2022,NA,Youth Services,Team Prime Time
1823701,8237,19647336061527,Markham MS,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1823801,8238,19647336058150,Millikan MS AC & PAM,Affiliated Charters,2021-2022,NA,Youth Services,NA
1824001,8240,19647336058168,Mount Gleason MS,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1824501,8245,19647336061535,Cochran MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1825501,8255,19647336058176,Muir MS,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1825901,8259,19647336058184,Mulholland MS,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1826401,8264,19647336058192,Nightingale MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1826801,8268,19647336057939,Nimitz MS,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1827201,8272,19647336061543,Nobel CMS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1828301,8283,19647336058200,Northridge MS,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1830601,8306,19647336061550,Olive Vista MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1832101,8321,19647336058218,Pacoima MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1834001,8340,19647336058226,Palms MS,Traditional Schools,2021-2022,NA,Youth Services,NA
1834401,8344,19647336061568,Woodland Hills Acad,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1835201,8352,19647336061576,Peary MS,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1835401,8354,19647336058242,Porter MS,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1835501,8355,19647336062699,Reed MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1835601,8356,19647336058267,Revere CMS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1835801,8358,19647336058283,San Fernando MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1836301,8363,19647336058291,Sepulveda MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1837701,8377,19647336058309,South Gate MS,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1838701,8387,19647336058317,Stevenson CCP,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1839001,8390,19647330126458,Walnut Park MS SJ/SL,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1839601,8396,19647336061600,Sun Valley Mag ET,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1840601,8406,19647336058325,Sutter MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1842501,8425,19647336058135,Mark Twain MS,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1843401,8434,19647336058333,Van Nuys MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1846201,8462,19647336058341,Virgil MS,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,A World Fit For Kids! / Bresee Foundation
1848101,8481,19647336058358,Webster MS,Traditional Schools,2021-2022,NA,Youth Services,Team Prime Time
1848701,8487,19647336058366,White MS,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1849001,8490,19647336058374,Wilmington STEAM Mag,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1849301,8493,19647336058382,Wright Eng Des Mag,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1850101,8501,19647330117747,RFK LA SH Arts,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1851701,8517,19647330112029,Contreras LC Bus Tr,Traditional Schools,2021-2022,NA,NA,A World Fit For Kids!
1852901,8529,19647331930650,Banning SH,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of LA Harbor
1853601,8536,19647331930866,Bell SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1854301,8543,19647331930924,Belmont SH,Traditional Schools,2021-2022,NA,NA,A World Fit For Kids!
1854401,8544,19647330117051,Roybal LC,Traditional Schools,2021-2022,NA,NA,arc
1857101,8571,19647331931476,Canoga Prk SH,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of Carson
1857501,8575,19647331931526,Carson SH,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of Carson
1857701,8577,19647330124412,Sotomayor Art/Sci Mag,Traditional Schools,2021-2022,NA,Youth Services,Team Prime Time
1857701,8577,19647330124412,Sotomayor Art/Sci Mag,Traditional Schools,2021-2022,NA,NA,UCLA
1859601,8596,19647331932128,Crenshaw Mag STEMM,Traditional Schools,2021-2022,NA,NA,Children Youth Family Collaborative
1860001,8600,19647331932383,Dorsey SH,Traditional Schools,2021-2022,NA,NA,Children Youth Family Collaborative
1860601,8606,19647330122341,Torres ELA PA Mag,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1860701,8607,19647330112037,East Valley SH,Traditional Schools,2021-2022,NA,NA,Keep Youth Doing Something
1860901,8609,19647330112045,Arleta SH,Traditional Schools,2021-2022,NA,NA,Keep Youth Doing Something
1861001,8610,19647330112052,Panorama SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1861101,8611,19647330119966,Mendez SH,Traditional Schools,2021-2022,NA,NA,Legacy LA
1861401,8614,19647331932540,Eagle Rock HS,Traditional Schools,2021-2022,NA,NA,A World Fit For Kids!
1861401,8614,19647331932540,Eagle Rock HS,Traditional Schools,2021-2022,NA,Youth Services,A World Fit For Kids!
1861801,8618,19647331939859,Wilson SH,Traditional Schools,2021-2022,NA,NA,Legacy LA
1862101,8621,19647331932920,Fairfax SH,Traditional Schools,2021-2022,NA,NA,LACER
1863601,8636,19647331932987,Polytechnic SH,Traditional Schools,2021-2022,NA,NA,Keep Youth Doing Something
1864301,8643,19647331933043,Franklin HS,Traditional Schools,2021-2022,NA,NA,UCLA
1865001,8650,19647331933118,Fremont SH,Traditional Schools,2021-2022,NA,NA,arc
1866401,8664,19647331933241,Gardena SH,Traditional Schools,2021-2022,NA,NA,arc
1867901,8679,19647331933381,Garfield SH,Traditional Schools,2021-2022,NA,NA,arc
1868301,8683,19647331933795,Grant SH,Traditional Schools,2021-2022,NA,NA,arc
1868601,8686,19647331933852,Hamilton SH,Traditional Schools,2021-2022,NA,NA,UCLA
1869301,8693,19647331934033,Hollywood SH,Traditional Schools,2021-2022,NA,NA,LACER
1870001,8700,19647331934157,Huntngtn Pk SH,Traditional Schools,2021-2022,NA,NA,Woodcraft Rangers
1870101,8701,19647330107011,International St LC,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1871301,8713,19647330126482,Hawkins SH C/DAGS,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1871401,8714,19647331934371,Jefferson SH,Traditional Schools,2021-2022,NA,NA,UCLA
1871601,8716,19647330109447,Santee EC,Traditional Schools,2021-2022,NA,NA,A World Fit For Kids!
1872101,8721,19647331934454,Jordan SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1872501,8725,19647331939941,Kennedy SH,Traditional Schools,2021-2022,NA,NA,arc
1872701,8727,19647331933001,King-Drew SH Md/S Mg,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of Carson
1872901,8729,19647331935121,Lincoln SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1873601,8736,19647331935352,Los Angeles SH,Traditional Schools,2021-2022,NA,NA,arc
1873801,8738,19647331932888,DBM,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1874101,8741,19647331932847,LACES Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1874301,8743,19647331935519,Manual Arts SH,Traditional Schools,2021-2022,NA,NA,Woodcraft Rangers
1874801,8748,19647330114850,West Adams Prep SH,Traditional Schools,2021-2022,NA,NA,Woodcraft Rangers
1875001,8750,19647331935568,Marshall SH,Traditional Schools,2021-2022,NA,NA,LACER
1876801,8768,19647331935865,Monroe SH,Traditional Schools,2021-2022,NA,NA,Keep Youth Doing Something
1877901,8779,19647331936160,Narbonne SH,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of LA Harbor
1878601,8786,19647331936350,No Hollywd SH,Traditional Schools,2021-2022,NA,NA,LACER
1881401,8814,19647331937226,Reseda Charter HS,Affiliated Charters,2021-2022,NA,NA,arc
1881401,8814,19647331937226,Reseda Charter HS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1884201,8842,19647331933233,SOCES Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1884301,8843,19647331937622,San Fernando SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1885001,8850,19647331937838,San Pedro SH,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of LA Harbor
1886801,8868,19647330124529,Rancho Domngz Prep,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1887101,8871,19647331938307,South Gate SH,Traditional Schools,2021-2022,NA,NA,arc
1887801,8878,19647331938554,Sylmar CHS,Affiliated Charters,2021-2022,NA,NA,EduCare Foundation
1888101,8881,19647330109454,South East SH,Traditional Schools,2021-2022,NA,NA,Woodcraft Rangers
1888201,8882,19647330109462,Maywood Academy SH,Traditional Schools,2021-2022,NA,NA,arc
1888601,8886,19647331938885,University HS Charter,Affiliated Charters,2021-2022,NA,NA,UCLA
1889301,8893,19647331938968,Van Nuys SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1890701,8907,19647331939040,Venice SH,Traditional Schools,2021-2022,NA,NA,Boys & Girls Club of Carson
1891701,8917,19647330135855,MaCES Mag,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1892801,8928,19647331939305,Washington Prep SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
